territory_code,territory_name,district_code,municipality_code,parish_code,district_name,full_municipality_id,full_parish_id
LOCAL-010103,Aguada de Cima,01,01,03,Aveiro,01-01,01-01-03
LOCAL-010109,Fermentelos,01,01,09,Aveiro,01-01,01-01-09
LOCAL-010112,Macinhata do Vouga,01,01,12,Aveiro,01-01,01-01-12
LOCAL-010119,Valongo do Vouga,01,01,19,Aveiro,01-01,01-01-19
LOCAL-010121,Águeda e Borralha,01,01,21,Aveiro,01-01,01-01-21
LOCAL-010122,Barrô e Aguada de Baixo,01,01,22,Aveiro,01-01,01-01-22
LOCAL-010123,"Belazaima do Chão, Castanheira do Vouga e Agadão",01,01,23,Aveiro,01-01,01-01-23
LOCAL-010124,Recardães e Espinhel,01,01,24,Aveiro,01-01,01-01-24
LOCAL-010125,Travassô e Óis da Ribeira,01,01,25,Aveiro,01-01,01-01-25
LOCAL-010126,"Trofa, Segadães e Lamas do Vouga",01,01,26,Aveiro,01-01,01-01-26
LOCAL-010127,Préstimo e Macieira de Alcoba,01,01,27,Aveiro,01-01,01-01-27
LOCAL-010202,Alquerubim,01,02,02,Aveiro,01-02,01-02-02
LOCAL-010203,Angeja,01,02,03,Aveiro,01-02,01-02-03
LOCAL-010204,Branca,01,02,04,Aveiro,01-02,01-02-04
LOCAL-010206,Ribeira de Fráguas,01,02,06,Aveiro,01-02,01-02-06
LOCAL-010209,Albergaria-a-Velha e Valmaior,01,02,09,Aveiro,01-02,01-02-09
LOCAL-010210,São João de Loure e Frossos,01,02,10,Aveiro,01-02,01-02-10
LOCAL-010304,Avelãs de Caminho,01,03,04,Aveiro,01-03,01-03-04
LOCAL-010305,Avelãs de Cima,01,03,05,Aveiro,01-03,01-03-05
LOCAL-010307,Moita,01,03,07,Aveiro,01-03,01-03-07
LOCAL-010309,Sangalhos,01,03,09,Aveiro,01-03,01-03-09
LOCAL-010310,São Lourenço do Bairro,01,03,10,Aveiro,01-03,01-03-10
LOCAL-010312,Vila Nova de Monsarros,01,03,12,Aveiro,01-03,01-03-12
LOCAL-010313,Vilarinho do Bairro,01,03,13,Aveiro,01-03,01-03-13
LOCAL-010316,"Amoreira da Gândara, Paredes do Bairro e Ancas",01,03,16,Aveiro,01-03,01-03-16
LOCAL-010317,Arcos e Mogofores,01,03,17,Aveiro,01-03,01-03-17
LOCAL-010318,"Tamengos, Aguim e Óis do Bairro",01,03,18,Aveiro,01-03,01-03-18
LOCAL-010402,Alvarenga,01,04,02,Aveiro,01-04,01-04-02
LOCAL-010407,Chave,01,04,07,Aveiro,01-04,01-04-07
LOCAL-010409,Escariz,01,04,09,Aveiro,01-04,01-04-09
LOCAL-010411,Fermedo,01,04,11,Aveiro,01-04,01-04-11
LOCAL-010413,Mansores,01,04,13,Aveiro,01-04,01-04-13
LOCAL-010414,Moldes,01,04,14,Aveiro,01-04,01-04-14
LOCAL-010415,Rossas,01,04,15,Aveiro,01-04,01-04-15
LOCAL-010416,Santa Eulália,01,04,16,Aveiro,01-04,01-04-16
LOCAL-010417,São Miguel do Mato,01,04,17,Aveiro,01-04,01-04-17
LOCAL-010418,Tropeço,01,04,18,Aveiro,01-04,01-04-18
LOCAL-010419,Urrô,01,04,19,Aveiro,01-04,01-04-19
LOCAL-010420,Várzea,01,04,20,Aveiro,01-04,01-04-20
LOCAL-010421,Arouca e Burgo,01,04,21,Aveiro,01-04,01-04-21
LOCAL-010422,Cabreiros e Albergaria da Serra,01,04,22,Aveiro,01-04,01-04-22
LOCAL-010423,Canelas e Espiunca,01,04,23,Aveiro,01-04,01-04-23
LOCAL-010424,Covelo de Paivó e Janarde,01,04,24,Aveiro,01-04,01-04-24
LOCAL-010501,Aradas,01,05,01,Aveiro,01-05,01-05-01
LOCAL-010502,Cacia,01,05,02,Aveiro,01-05,01-05-02
LOCAL-010505,Esgueira,01,05,05,Aveiro,01-05,01-05-05
LOCAL-010508,Oliveirinha,01,05,08,Aveiro,01-05,01-05-08
LOCAL-010510,São Bernardo,01,05,10,Aveiro,01-05,01-05-10
LOCAL-010511,São Jacinto,01,05,11,Aveiro,01-05,01-05-11
LOCAL-010513,Santa Joana,01,05,13,Aveiro,01-05,01-05-13
LOCAL-010515,Eixo e Eirol,01,05,15,Aveiro,01-05,01-05-15
LOCAL-010516,"Requeixo, Nossa Senhora de Fátima e Nariz",01,05,16,Aveiro,01-05,01-05-16
LOCAL-010517,Glória e Vera Cruz,01,05,17,Aveiro,01-05,01-05-17
LOCAL-010602,Fornos,01,06,02,Aveiro,01-06,01-06-02
LOCAL-010606,Real,01,06,06,Aveiro,01-06,01-06-06
LOCAL-010607,Santa Maria de Sardoura,01,06,07,Aveiro,01-06,01-06-07
LOCAL-010608,São Martinho de Sardoura,01,06,08,Aveiro,01-06,01-06-08
LOCAL-010610,"Raiva, Pedorido e Paraíso",01,06,10,Aveiro,01-06,01-06-10
LOCAL-010611,Sobrado e Bairros,01,06,11,Aveiro,01-06,01-06-11
LOCAL-010702,Espinho,01,07,02,Aveiro,01-07,01-07-02
LOCAL-010704,Paramos,01,07,04,Aveiro,01-07,01-07-04
LOCAL-010705,Silvalde,01,07,05,Aveiro,01-07,01-07-05
LOCAL-010706,Anta e Guetim,01,07,06,Aveiro,01-07,01-07-06
LOCAL-010801,Avanca,01,08,01,Aveiro,01-08,01-08-01
LOCAL-010805,Pardilhó,01,08,05,Aveiro,01-08,01-08-05
LOCAL-010806,Salreu,01,08,06,Aveiro,01-08,01-08-06
LOCAL-010808,Beduído e Veiros,01,08,08,Aveiro,01-08,01-08-08
LOCAL-010809,Canelas e Fermelã,01,08,09,Aveiro,01-08,01-08-09
LOCAL-010901,Argoncilhe,01,09,01,Aveiro,01-09,01-09-01
LOCAL-010902,Arrifana,01,09,02,Aveiro,01-09,01-09-02
LOCAL-010904,Escapães,01,09,04,Aveiro,01-09,01-09-04
LOCAL-010907,Fiães,01,09,07,Aveiro,01-09,01-09-07
LOCAL-010908,Fornos,01,09,08,Aveiro,01-09,01-09-08
LOCAL-010913,Lourosa,01,09,13,Aveiro,01-09,01-09-13
LOCAL-010914,Milheirós de Poiares,01,09,14,Aveiro,01-09,01-09-14
LOCAL-010916,Mozelos,01,09,16,Aveiro,01-09,01-09-16
LOCAL-010917,Nogueira da Regedoura,01,09,17,Aveiro,01-09,01-09-17
LOCAL-010918,São Paio de Oleiros,01,09,18,Aveiro,01-09,01-09-18
LOCAL-010919,Paços de Brandão,01,09,19,Aveiro,01-09,01-09-19
LOCAL-010921,Rio Meão,01,09,21,Aveiro,01-09,01-09-21
LOCAL-010922,Romariz,01,09,22,Aveiro,01-09,01-09-22
LOCAL-010924,Sanguedo,01,09,24,Aveiro,01-09,01-09-24
LOCAL-010925,Santa Maria de Lamas,01,09,25,Aveiro,01-09,01-09-25
LOCAL-010926,São João de Ver,01,09,26,Aveiro,01-09,01-09-26
LOCAL-010932,Caldas de São Jorge e Pigeiros,01,09,32,Aveiro,01-09,01-09-32
LOCAL-010933,"Canedo, Vale e Vila Maior",01,09,33,Aveiro,01-09,01-09-33
LOCAL-010934,"Lobão, Gião, Louredo e Guisande",01,09,34,Aveiro,01-09,01-09-34
LOCAL-010935,"Santa Maria da Feira, Travanca, Sanfins e Espargo",01,09,35,Aveiro,01-09,01-09-35
LOCAL-010936,São Miguel de Souto e Mosteirô,01,09,36,Aveiro,01-09,01-09-36
LOCAL-011005,Gafanha da Encarnação,01,10,05,Aveiro,01-10,01-10-05
LOCAL-011006,Gafanha da Nazaré,01,10,06,Aveiro,01-10,01-10-06
LOCAL-011007,Gafanha do Carmo,01,10,07,Aveiro,01-10,01-10-07
LOCAL-011008,Ílhavo (São Salvador),01,10,08,Aveiro,01-10,01-10-08
LOCAL-011102,Barcouço,01,11,02,Aveiro,01-11,01-11-02
LOCAL-011103,Casal Comba,01,11,03,Aveiro,01-11,01-11-03
LOCAL-011104,Luso,01,11,04,Aveiro,01-11,01-11-04
LOCAL-011106,Pampilhosa,01,11,06,Aveiro,01-11,01-11-06
LOCAL-011107,Vacariça,01,11,07,Aveiro,01-11,01-11-07
LOCAL-011109,"Mealhada, Ventosa do Bairro e Antes",01,11,09,Aveiro,01-11,01-11-09
LOCAL-011201,Bunheiro,01,12,01,Aveiro,01-12,01-12-01
LOCAL-011202,Monte,01,12,02,Aveiro,01-12,01-12-02
LOCAL-011203,Murtosa,01,12,03,Aveiro,01-12,01-12-03
LOCAL-011204,Torreira,01,12,04,Aveiro,01-12,01-12-04
LOCAL-011301,Carregosa,01,13,01,Aveiro,01-13,01-13-01
LOCAL-011302,Cesar,01,13,02,Aveiro,01-13,01-13-02
LOCAL-011303,Fajões,01,13,03,Aveiro,01-13,01-13-03
LOCAL-011304,Loureiro,01,13,04,Aveiro,01-13,01-13-04
LOCAL-011305,Macieira de Sarnes,01,13,05,Aveiro,01-13,01-13-05
LOCAL-011310,Ossela,01,13,10,Aveiro,01-13,01-13-10
LOCAL-011315,São Martinho da Gândara,01,13,15,Aveiro,01-13,01-13-15
LOCAL-011318,São Roque,01,13,18,Aveiro,01-13,01-13-18
LOCAL-011319,Vila de Cucujães,01,13,19,Aveiro,01-13,01-13-19
LOCAL-011320,Nogueira do Cravo e Pindelo,01,13,20,Aveiro,01-13,01-13-20
LOCAL-011321,"O. Azeméis, Riba-Ul, Ul, Macinhata Seixa, Madail",01,13,21,Aveiro,01-13,01-13-21
LOCAL-011322,"Pinheiro da Bemposta, Travanca e Palmaz",01,13,22,Aveiro,01-13,01-13-22
LOCAL-011403,Oiã,01,14,03,Aveiro,01-14,01-14-03
LOCAL-011404,Oliveira do Bairro,01,14,04,Aveiro,01-14,01-14-04
LOCAL-011405,Palhaça,01,14,05,Aveiro,01-14,01-14-05
LOCAL-011407,"Bustos, Troviscal e Mamarrosa",01,14,07,Aveiro,01-14,01-14-07
LOCAL-011502,Cortegaça,01,15,02,Aveiro,01-15,01-15-02
LOCAL-011503,Esmoriz,01,15,03,Aveiro,01-15,01-15-03
LOCAL-011504,Maceda,01,15,04,Aveiro,01-15,01-15-04
LOCAL-011507,Válega,01,15,07,Aveiro,01-15,01-15-07
LOCAL-011509,"Ovar, S.João, Arada e S.Vicente de Pereira Jusã",01,15,09,Aveiro,01-15,01-15-09
LOCAL-011601,São João da Madeira,01,16,01,Aveiro,01-16,01-16-01
