"Pollster","Date","Sample Size","Stratification","Methodology","Fieldwork Start","Fieldwork End","PS - Partido Socialista","AD - Aliança Democrática","BE - Bloco de Esquerda","PCP-PEV - Coligação Democrática Unitária","PAN - Pessoas-Animais-Natureza","A - Aliança","L - Livre","Liberal - Iniciativa Liberal","Chega - Chega","Outros - Outros/Brancos/Nulos","PSD - Partido Social Democrata","CDS-PP - Partido Popular","PAF - PSD/CDS - Portugal à Frente (2015)"
"* Pitagórica","10/05/2025","810","Tracking poll (resultados acumulados","['Telefónica']","7/05/2025","10/05/2025","25.7","33.1","2.8","3.2","1.5","","4.9","6.8","16.0","6.0","","",""
"* Pitagórica","09/05/2025","810","Tracking poll (resultados acumulados","['Telefónica']","6/05/2025","9/05/2025","25.9","33.7","3.4","2.7","1.6","","5.3","5.6","15.3","6.5","","",""
"* Pitagórica","08/05/2025","810","Tracking poll (resultados acumulados","[]","5/05/2025","8/05/2025","26.3","33.7","2.5","3.0","1.3","","5.2","5.9","15.7","6.4","","",""
"* Pitagórica","07/05/2025","810","Tracking poll (resultados acumulados","['Telefónica']","4/05/2025","7/05/2025","26.3","34.2","2.8","3.1","0.7","","4.0","6.3","16.0","6.6","","",""
"* Pitagórica","06/05/2025","810","Tracking poll (resultados acumulados","['Telefónica']","3/05/2025","6/05/2025","26.1","34.9","2.1","3.2","0.5","","3.9","6.8","16.7","5.8","","",""
"* CESOP-U.Católica","06/05/2025","1464","Aleatória","['Telefónica']","28/04/2025","6/05/2025","28.0","32.0","2.0","3.0","1.5","","4.0","6.0","20.0","3.5","","",""
"* ICS/ISCTE/GFK Metris","05/05/2025","1002","Quotas","['Presencial']","25/04/2025","5/05/2025","27.0","32.0","2.0","4.0","2.0","","3.0","5.0","19.0","6.0","","",""
"* Pitagórica","05/05/2025","810","Tracking poll (resultados acumulados","['Telefónica']","2/05/2025","5/05/2025","26.6","34.8","2.3","3.5","0.6","","3.8","6.8","16.8","4.8","","",""
"* Pitagórica","04/05/2025","810","Tracking poll (resultados acumulados","['Telefónica']","1/05/2025","4/05/2025","27.1","35.8","1.8","3.2","0.6","","3.4","7.5","16.5","4.1","","",""
"* Pitagórica","03/05/2025","810","Tracking poll (resultados acumulados","['Telefónica']","30/04/2025","3/05/2025","26.9","35.6","2.1","3.1","0.9","","3.9","6.6","16.2","4.7","","",""
"* Pitagórica","02/05/2025","810","Tracking poll (resultados acumulados","['Telefónica']","29/04/2025","2/05/2025","27.7","34.5","2.2","3.1","0.7","","4.0","6.9","15.7","5.2","","",""
"* Pitagórica","01/05/2025","810","Tracking poll (resultados acumulados","['Telefónica']","28/04/2025","1/05/2025","27.5","34.0","1.5","3.3","0.6","","3.4","7.8","16.6","5.3","","",""
"* CESOP-U.Católica","24/04/2025","1215","Aleatória","['Telefónica']","21/04/2025","24/04/2025","26.0","32.0","3.0","4.0","1.0","","5.0","6.0","19.0","4.0","","",""
"Consulmark2","22/04/2025","569","Quotas por sexo, idade e região","['Telefónica']","14/04/2025","22/04/2025","27.1","34.1","2.7","2.7","1.1","","4.3","8.3","15.2","4.5","","",""
"Pitagórica","21/04/2025","1000","Quotas por sexo, idade e distrito","['Telefónica']","14/04/2025","21/04/2025","28.1","34.8","1.9","4.1","0.6","","4.4","7.4","15.2","3.5","","",""
"ICS/ISCTE/GFK Metris","14/04/2025","803","Estratificada por sexo, idade, instrução e regiões","['Presencial']","5/04/2025","14/04/2025","29.0","33.0","2.0","2.0","2.0","","1.0","4.0","21.0","6.0","","",""
"Intercampus","09/04/2025","607","Quotas por género, idade e região","['Telefónica']","4/04/2025","9/04/2025","28.9","27.2","3.0","5.9","3.4","","5.1","6.7","17.2","2.6","","",""
"Aximage","08/04/2025","667","Quotas por sexo, idade e região","['Telefónica', 'Online']","4/04/2025","8/04/2025","30.1","27.2","2.3","3.2","1.8","","4.4","6.1","18.6","6.3","","",""
"Consulmark2","03/04/2025","583","Quotas por sexo, idade e região","['Telefónica']","27/03/2025","3/04/2025","25.9","33.3","3.8","2.5","1.4","","4.3","8.1","13.5","7.2","","",""
"Pitagórica","29/03/2025","1000","Estratificada por género, idade e região","['Telefónica']","24/03/2025","29/03/2025","27.8","34.4","2.7","3.4","0.5","","5.5","6.0","14.9","4.8","","",""
"CESOP-U.Católica","26/03/2025","1206","Aleatória","['Telefónica']","17/03/2025","26/03/2025","27.0","29.0","5.0","3.0","2.0","","5.0","8.0","17.0","4.0","","",""
"Intercampus","26/03/2025","605","Quotas por género, idade e região","['Telefónica']","20/03/2025","26/03/2025","26.8","30.7","3.1","2.1","3.1","","4.6","10.7","14.3","4.5","","",""
"Metris","24/03/2025","1022","Quotas por sexo, idade, região e habitat","['Presencial']","15/03/2025","24/03/2025","32.0","30.0","4.0","4.0","1.0","","1.0","4.0","18.0","5.0","","",""
"Aximage","21/03/2025","1343","Quotas por sexo, idade e região","['Telefónica', 'Online']","17/03/2025","21/03/2025","31.0","28.0","2.8","3.6","1.5","","2.2","6.9","20.2","3.8","","",""
"ICS/ISCTE/GFK Metris","17/03/2025","802","Estratificada por sexo, idade, instrução e região","['Telefónica']","12/03/2025","17/03/2025","27.8","37.0","1.9","1.9","","","1.9","7.4","16.7","5.6","","",""
"Intercampus","13/03/2025","600","Estratificada por género, idade e região","['Telefónica']","11/03/2025","13/03/2025","27.9","26.2","5.2","2.7","2.1","","4.4","9.3","18.5","3.7","","",""
"Consulmark2","12/03/2025","594","Quotas por sexo, idade e região","['Telefónica']","6/03/2025","12/03/2025","28.0","32.1","3.4","3.2","0.6","","2.4","7.7","16.5","6.2","","",""
"Intercampus","10/03/2025","620","Quotas por género, idade e região","['Telefónica']","4/03/2025","10/03/2025","28.6","26.9","5.5","3.4","3.4","","4.5","8.0","17.4","2.3","","",""
"Aximage","08/03/2025","601","Quotas por sexo, idade e região","['Online']","6/03/2025","8/03/2025","32.5","27.2","4.5","2.5","0.8","","2.6","7.7","18.2","3.9","","",""
"Pitagórica","06/03/2025","625","Estratificada por género, idade e região","['Telefónica']","3/03/2025","6/03/2025","28.8","33.5","2.9","3.0","1.9","","2.7","6.7","13.5","7.0","","",""
"Pitagórica","27/02/2025","400","Estratificada por género, idade e região","['Telefónica']","23/02/2025","27/02/2025","27.2","35.6","1.5","3.6","1.5","","4.8","5.1","17.4","3.3","","",""
"Aximage","28/01/2025","800","Quotas por sexo, idade e região","['Telefónica', 'Online']","23/01/2025","28/01/2025","28.1","29.3","3.8","3.5","2.9","","4.1","5.6","18.4","4.3","","",""
"Pitagórica","26/01/2025","400","Estratificada por género, idade e região","['Telefónica']","21/01/2025","26/01/2025","27.3","33.0","3.1","3.4","2.0","","3.7","6.3","16.8","4.4","","",""
"Intercampus","26/01/2025","638","Estratificada por género, idade e região","['Telefónica']","21/01/2025","26/01/2025","28.2","27.8","5.9","3.4","3.4","","3.9","7.0","17.3","3.1","","",""
"Aximage","21/01/2025","802","Quotas por sexo, idade e região","['Telefónica', 'Online']","16/01/2025","21/01/2025","26.7","29.1","4.4","3.2","2.5","","3.5","6.3","20.5","3.8","","",""
"ICS/ISCTE/GFK Metris","20/01/2025","805","Estratificada por sexo, idade, instrução e região","['Presencial']","9/01/2025","20/01/2025","30.0","33.0","3.0","3.0","2.0","","2.0","4.0","17.0","6.0","","",""
"Pitagórica","05/01/2025","400","Estratificada por género, idade e região","['Telefónica']","28/12/2025","5/01/2025","26.9","32.9","4.3","4.0","1.4","","3.1","5.7","16.3","5.4","","",""
"Intercampus","27/11/2024","605","Quotas por género, idade e região","['Telefónica']","21/11/2024","27/11/2024","30.0","28.8","5.8","3.3","3.2","","3.3","8.3","16.2","1.0","","",""
"Aximage","22/11/2024","800","Quotas por sexo, idade e região","['Telefónica', 'Online']","15/11/2024","22/11/2024","26.7","28.1","3.3","3.6","1.6","","4.3","6.0","20.9","5.4","","",""
"Aximage","19/11/2024","802","Quotas por sexo, idade e região","['Telefónica', 'Online']","13/11/2024","19/11/2024","28.6","29.8","4.0","2.6","2.4","","4.1","6.8","18.2","3.5","","",""
"CESOP-U.Católica","23/10/2024","1025","Aleatória","['Telefónica']","17/10/2024","23/10/2024","29.0","33.0","4.0","3.0","2.0","","3.0","6.0","18.0","2.0","","",""
"Intercampus","10/10/2024","612","Quotas por género, idade e região","['Telefónica']","4/10/2024","10/10/2024","29.5","28.2","6.0","3.8","2.0","","3.5","7.5","14.1","5.3","","",""
"Aximage","05/10/2024","802","Quotas por sexo, idade e região","['Telefónica', 'Online']","30/09/2024","5/10/2024","28.6","32.1","5.5","3.0","2.3","","3.5","6.3","15.1","3.6","","",""
"Intercampus","04/09/2024","604","Quotas por género, idade e região","['Telefónica']","24/08/2024","4/09/2024","31.5","29.5","6.3","3.6","1.3","","3.0","8.2","14.8","1.8","","",""
"Intercampus","26/07/2024","609","Quotas por género, idade e região","['Telefónica']","19/07/2024","26/07/2024","26.0","28.7","6.3","2.4","3.6","","5.3","9.8","15.5","2.4","","",""
"CESOP-U.Católica","13/07/2024","957","Aleatória","['Telefónica']","7/07/2024","13/07/2024","33.0","31.0","4.0","3.0","2.0","","3.0","7.0","14.0","3.0","","",""
"Aximage","08/07/2024","801","Quotas por sexo, idade e região","['Telefónica', 'Online']","3/07/2024","8/07/2024","29.5","27.6","4.6","3.5","2.5","","4.1","7.1","17.5","3.6","","",""
"Intercampus","04/06/2024","604","Quotas por género, idade e região","['Telefónica']","29/05/2024","4/06/2024","27.1","29.5","7.2","1.7","3.1","","5.5","9.4","16.1","0.7","","",""
"Intercampus","20/05/2024","609","Quotas por género, idade e região","['Telefónica']","12/05/2024","20/05/2024","24.7","23.7","8.2","2.5","3.2","","9.4","9.0","17.4","1.9","","",""
"CESOP-U.Católica","18/05/2024","965","Aleatória","['Telefónica']","13/05/2024","18/05/2024","29.0","30.0","4.0","3.0","2.0","","5.0","5.0","19.0","3.0","","",""
"Intercampus","23/04/2024","605","Quotas por género, idade e região","['Telefónica']","18/04/2024","23/04/2024","28.7","24.3","9.7","2.3","2.9","","5.7","7.9","15.6","2.9","","",""
"Pitagórica","10/03/2024","28089","Aleatória","['Presencial']","10/03/2024","10/03/2024","27.0","30.5","4.5","3.8","1.8","","3.7","4.8","19.1","4.8","","",""
"Intercampus","10/03/2024","24328","Aleatória","['Presencial']","10/03/2024","10/03/2024","26.8","30.2","4.7","3.2","2.0","","4.1","5.3","18.1","5.6","","",""
"CESOP-U.Católica","10/03/2024","36149","Aleatória","['Presencial']","10/03/2024","10/03/2024","27.0","31.0","5.0","3.0","2.0","","4.0","6.0","15.5","6.5","","",""
"ICS/ISCTE/GFK Metris","10/03/2024","20888","Aleatória","['Presencial']","10/03/2024","10/03/2024","26.3","29.7","4.8","2.9","1.8","","3.6","5.7","18.7","6.4","","",""
"Duplimétrica/IPESPE","07/03/2024","600","Tracking poll (amostragem aleatória)","['Telefónica']","5/03/2024","7/03/2024","29.0","35.0","5.0","3.0","1.0","","4.0","6.0","15.0","2.0","","",""
"Duplimétrica/IPESPE","06/03/2024","600","Tracking poll (amostragem aleatória)","['Telefónica']","4/03/2024","6/03/2024","29.0","35.0","5.0","3.0","1.0","","4.0","6.0","14.0","3.0","","",""
"Consulmark2","06/03/2024","801","Quotas por sexo, idade e região","['Telefónica']","1/03/2024","6/03/2024","27.0","29.8","5.2","2.5","1.2","","4.6","6.4","18.2","5.0","","",""
"Duplimétrica/IPESPE","05/03/2024","600","Tracking poll (amostragem aleatória)","['Telefónica']","3/03/2024","5/03/2024","28.0","35.0","5.0","4.0","1.0","","4.0","6.0","15.0","2.0","","",""
"CESOP-U.Católica","05/03/2024","2405","Aleatória","['Telefónica']","28/02/2024","5/03/2024","28.0","34.0","5.0","5.0","1.0","","3.0","6.0","16.0","2.0","","",""
"Intercampus","04/03/2024","802","Quotas por região, género e idade","['Telefónica']","28/02/2024","4/03/2024","25.1","31.5","5.9","2.3","4.0","","4.6","8.4","16.8","1.5","","",""
"Duplimétrica/IPESPE","04/03/2024","600","Tracking poll (amostragem aleatória)","['Telefónica']","2/03/2024","4/03/2024","27.0","36.0","6.0","3.0","1.0","","4.0","5.0","16.0","2.0","","",""
"Duplimétrica/IPESPE","03/03/2024","600","Tracking poll (amostragem aleatória)","['Telefónica']","1/03/2024","3/03/2024","26.0","35.0","6.0","3.0","1.0","","3.0","5.0","17.0","4.0","","",""
"Duplimétrica/IPESPE","02/03/2024","600","Tracking poll (amostragem aleatória)","['Telefónica']","29/02/2024","2/03/2024","26.0","35.0","6.0","4.0","1.0","","4.0","4.0","17.0","3.0","","",""
"Duplimétrica/IPESPE","01/03/2024","600","Tracking poll (amostragem aleatória)","['Telefónica']","28/02/2024","1/03/2024","27.0","34.0","5.0","3.0","2.0","","3.0","5.0","18.0","3.0","","",""
"Duplimétrica/IPESPE","29/02/2024","600","Tracking poll (amostragem aleatória)","['Telefónica']","27/02/2024","29/02/2024","27.0","34.0","5.0","2.0","1.0","","4.0","5.0","17.0","5.0","","",""
"Duplimétrica/IPESPE","28/02/2024","600","Tracking poll (amostragem aleatória)","['Telefónica']","26/02/2024","28/02/2024","26.0","32.0","6.0","2.0","2.0","","4.0","6.0","18.0","4.0","","",""
"Aximage","27/02/2024","809","Quotas por sexo, idade e região","['Telefónica', 'Online']","23/02/2024","27/02/2024","33.1","29.6","6.6","4.0","2.0","","1.7","3.9","16.7","2.4","","",""
"Duplimétrica/IPESPE","27/02/2024","600","Tracking poll (amostragem aleatória)","['Telefónica']","25/02/2024","27/02/2024","27.0","33.0","5.0","2.0","2.0","","4.0","6.0","17.0","4.0","","",""
"CESOP-U.Católica","26/02/2024","1207","Aleatória","['Telefónica']","22/02/2024","26/02/2024","27.0","33.0","5.0","3.0","2.0","","4.0","6.0","17.0","3.0","","",""
"Duplimétrica/IPESPE","26/02/2024","600","Tracking poll (amostragem aleatória)","['Telefónica']","24/02/2024","26/02/2024","26.0","33.0","5.0","2.0","1.0","","3.0","6.0","17.0","7.0","","",""
"ICS/ISCTE/GFK Metris","25/02/2024","907","Quotas por Sexo, Idade, Instrução, Região e Habitat","['Presencial']","17/02/2024","25/02/2024","30.0","31.0","5.0","3.0","2.0","","2.0","4.0","17.0","6.0","","",""
"Duplimétrica/IPESPE","25/02/2024","600","Tracking poll (amostragem aleatória)","['Telefónica']","23/02/2024","25/02/2024","26.0","33.0","5.0","2.0","1.0","","3.0","7.0","17.0","6.0","","",""
"Duplimétrica/IPESPE","24/02/2024","600","Tracking poll (amostragem aleatória)","['Telefónica']","22/02/2024","24/02/2024","26.0","31.0","6.0","2.0","1.0","","4.0","8.0","17.0","5.0","","",""
