municipality_code,municipality_name,district_name,region
LOCAL-010200,Albergaria-a-Velha,Aveiro,Centro
LOCAL-010300,Anadia,Aveiro,Centro
LOCAL-010400,Arouca,Aveiro,Centro
LOCAL-010500,Aveiro,Aveiro,Centro
LOCAL-010600,Castelo de Paiva,Aveiro,Centro
LOCAL-010700,Espinho,Aveiro,Centro
LOCAL-010800,Estarreja,Aveiro,Centro
LOCAL-011100,Mealhada,Aveiro,Centro
LOCAL-011200,Murtosa,Aveiro,Centro
LOCAL-011300,Oliveira de Azeméis,Aveiro,Centro
LOCAL-011400,Oliveira do Bairro,Aveiro,Centro
LOCAL-011500,Ovar,Aveiro,Centro
LOCAL-010900,Santa Maria da Feira,Aveiro,Centro
LOCAL-011700,Sever do Vouga,Aveiro,Centro
LOCAL-011600,São João da Madeira,Aveiro,Centro
LOCAL-011800,Vagos,Aveiro,Centro
LOCAL-011900,Vale de Cambra,Aveiro,Centro
LOCAL-010100,Águeda,Aveiro,Centro
LOCAL-011000,Ílhavo,Aveiro,Centro
LOCAL-430100,Angra do Heroísmo,Açores,Região Autónoma dos Açores
LOCAL-450100,Calheta,Açores,Região Autónoma dos Açores
LOCAL-490100,Corvo,Açores,Região Autónoma dos Açores
LOCAL-470100,Horta,Açores,Região Autónoma dos Açores
LOCAL-420100,Lagoa,Açores,Região Autónoma dos Açores
LOCAL-480100,Lajes das Flores,Açores,Região Autónoma dos Açores
LOCAL-460100,Lajes do Pico,Açores,Região Autónoma dos Açores
LOCAL-460200,Madalena,Açores,Região Autónoma dos Açores
LOCAL-420200,Nordeste,Açores,Região Autónoma dos Açores
LOCAL-420300,Ponta Delgada,Açores,Região Autónoma dos Açores
LOCAL-420400,Povoação,Açores,Região Autónoma dos Açores
LOCAL-420500,Ribeira Grande,Açores,Região Autónoma dos Açores
LOCAL-440100,Santa Cruz da Graciosa,Açores,Região Autónoma dos Açores
LOCAL-480200,Santa Cruz das Flores,Açores,Região Autónoma dos Açores
LOCAL-460300,São Roque do Pico,Açores,Região Autónoma dos Açores
LOCAL-450200,Velas,Açores,Região Autónoma dos Açores
LOCAL-420600,Vila Franca do Campo,Açores,Região Autónoma dos Açores
LOCAL-430200,Vila da Praia da Vitória,Açores,Região Autónoma dos Açores
LOCAL-410100,Vila do Porto,Açores,Região Autónoma dos Açores
LOCAL-020100,Aljustrel,Beja,Alentejo
LOCAL-020200,Almodôvar,Beja,Alentejo
LOCAL-020300,Alvito,Beja,Alentejo
LOCAL-020400,Barrancos,Beja,Alentejo
LOCAL-020500,Beja,Beja,Alentejo
LOCAL-020600,Castro Verde,Beja,Alentejo
LOCAL-020700,Cuba,Beja,Alentejo
LOCAL-020800,Ferreira do Alentejo,Beja,Alentejo
LOCAL-021000,Moura,Beja,Alentejo
LOCAL-020900,Mértola,Beja,Alentejo
LOCAL-021100,Odemira,Beja,Alentejo
LOCAL-021200,Ourique,Beja,Alentejo
LOCAL-021300,Serpa,Beja,Alentejo
LOCAL-021400,Vidigueira,Beja,Alentejo
LOCAL-030100,Amares,Braga,Norte
LOCAL-030200,Barcelos,Braga,Norte
LOCAL-030300,Braga,Braga,Norte
LOCAL-030400,Cabeceiras de Basto,Braga,Norte
LOCAL-030500,Celorico de Basto,Braga,Norte
LOCAL-030600,Esposende,Braga,Norte
LOCAL-030700,Fafe,Braga,Norte
LOCAL-030800,Guimarães,Braga,Norte
LOCAL-030900,Póvoa de Lanhoso,Braga,Norte
LOCAL-031000,Terras de Bouro,Braga,Norte
LOCAL-031100,Vieira do Minho,Braga,Norte
LOCAL-031200,Vila Nova de Famalicão,Braga,Norte
LOCAL-031300,Vila Verde,Braga,Norte
LOCAL-031400,Vizela,Braga,Norte
LOCAL-040100,Alfândega da Fé,Bragança,Norte
LOCAL-040200,Bragança,Bragança,Norte
LOCAL-040300,Carrazeda de Ansiães,Bragança,Norte
LOCAL-040400,Freixo de Espada à Cinta,Bragança,Norte
LOCAL-040500,Macedo de Cavaleiros,Bragança,Norte
LOCAL-040600,Miranda do Douro,Bragança,Norte
LOCAL-040700,Mirandela,Bragança,Norte
LOCAL-040800,Mogadouro,Bragança,Norte
LOCAL-040900,Torre de Moncorvo,Bragança,Norte
LOCAL-041000,Vila Flor,Bragança,Norte
LOCAL-041100,Vimioso,Bragança,Norte
LOCAL-041200,Vinhais,Bragança,Norte
LOCAL-050100,Belmonte,Castelo Branco,Centro
LOCAL-050200,Castelo Branco,Castelo Branco,Centro
LOCAL-050300,Covilhã,Castelo Branco,Centro
LOCAL-050400,Fundão,Castelo Branco,Centro
LOCAL-050500,Idanha-a-Nova,Castelo Branco,Centro
LOCAL-050600,Oleiros,Castelo Branco,Centro
LOCAL-050700,Penamacor,Castelo Branco,Centro
LOCAL-050800,Proença-a-Nova,Castelo Branco,Centro
LOCAL-050900,Sertã,Castelo Branco,Centro
LOCAL-051100,Vila Velha de Ródão,Castelo Branco,Centro
LOCAL-051000,Vila de Rei,Castelo Branco,Centro
LOCAL-060100,Arganil,Coimbra,Centro
LOCAL-060200,Cantanhede,Coimbra,Centro
LOCAL-060300,Coimbra,Coimbra,Centro
LOCAL-060400,Condeixa-a-Nova,Coimbra,Centro
LOCAL-060500,Figueira da Foz,Coimbra,Centro
LOCAL-060600,Góis,Coimbra,Centro
LOCAL-060700,Lousã,Coimbra,Centro
LOCAL-060800,Mira,Coimbra,Centro
LOCAL-060900,Miranda do Corvo,Coimbra,Centro
LOCAL-061000,Montemor-o-Velho,Coimbra,Centro
LOCAL-061100,Oliveira do Hospital,Coimbra,Centro
LOCAL-061200,Pampilhosa da Serra,Coimbra,Centro
LOCAL-061300,Penacova,Coimbra,Centro
LOCAL-061400,Penela,Coimbra,Centro
LOCAL-061500,Soure,Coimbra,Centro
LOCAL-061600,Tábua,Coimbra,Centro
LOCAL-061700,Vila Nova de Poiares,Coimbra,Centro
LOCAL-080100,Albufeira,Faro,Algarve
LOCAL-080200,Alcoutim,Faro,Algarve
LOCAL-080300,Aljezur,Faro,Algarve
LOCAL-080400,Castro Marim,Faro,Algarve
LOCAL-080500,Faro,Faro,Algarve
LOCAL-080600,Lagoa,Faro,Algarve
LOCAL-080700,Lagos,Faro,Algarve
LOCAL-080800,Loulé,Faro,Algarve
LOCAL-080900,Monchique,Faro,Algarve
LOCAL-081000,Olhão,Faro,Algarve
LOCAL-081100,Portimão,Faro,Algarve
LOCAL-081300,Silves,Faro,Algarve
LOCAL-081200,São Brás de Alportel,Faro,Algarve
LOCAL-081400,Tavira,Faro,Algarve
LOCAL-081600,Vila Real de Santo António,Faro,Algarve
LOCAL-081500,Vila do Bispo,Faro,Algarve
LOCAL-090100,Aguiar da Beira,Guarda,Centro
LOCAL-090200,Almeida,Guarda,Centro
LOCAL-090300,Celorico da Beira,Guarda,Centro
LOCAL-090400,Figueira de Castelo Rodrigo,Guarda,Centro
LOCAL-090500,Fornos de Algodres,Guarda,Centro
LOCAL-090600,Gouveia,Guarda,Centro
LOCAL-090700,Guarda,Guarda,Centro
LOCAL-090800,Manteigas,Guarda,Centro
LOCAL-090900,Mêda,Guarda,Centro
LOCAL-091000,Pinhel,Guarda,Centro
LOCAL-091100,Sabugal,Guarda,Centro
