territory_code_full,territory_code_numeric,territory_code_ine,name,level,level_code,district_code,district_name,municipality_code,municipality_name,parish_code,parish_name,region
LOCAL-010000,010000,01,Aveiro,distrito,4,LOCAL-010000,Aveiro,,,,,Centro
LOCAL-400000,400000,40,Açores,distrito,4,LOCAL-400000,Açores,,,,,Região Autónoma dos Açores
LOCAL-020000,020000,02,Beja,distrito,4,LOCAL-020000,Beja,,,,,Alentejo
LOCAL-030000,030000,03,Braga,distrito,4,LOCAL-030000,Braga,,,,,Norte
LOCAL-040000,040000,04,Bragança,distrito,4,LOCAL-040000,Bragança,,,,,Norte
LOCAL-050000,050000,05,Castelo Branco,distrito,4,LOCAL-050000,Castelo Branco,,,,,Centro
LOCAL-060000,060000,06,Coimbra,distrito,4,LOCAL-060000,Coimbra,,,,,Centro
LOCAL-080000,080000,08,Faro,distrito,4,LOCAL-080000,Faro,,,,,Algarve
LOCAL-090000,090000,09,Guarda,distrito,4,LOCAL-090000,Guarda,,,,,Centro
LOCAL-100000,100000,10,Leiria,distrito,4,LOCAL-100000,Leiria,,,,,Centro
LOCAL-110000,110000,11,Lisboa,distrito,4,LOCAL-110000,Lisboa,,,,,Área Metropolitana de Lisboa
LOCAL-300000,300000,30,Madeira,distrito,4,LOCAL-300000,Madeira,,,,,Região Autónoma da Madeira
LOCAL-120000,120000,12,Portalegre,distrito,4,LOCAL-120000,Portalegre,,,,,Alentejo
LOCAL-130000,130000,13,Porto,distrito,4,LOCAL-130000,Porto,,,,,Norte
LOCAL-140000,140000,14,Santarém,distrito,4,LOCAL-140000,Santarém,,,,,Área Metropolitana de Lisboa
LOCAL-150000,150000,15,Setúbal,distrito,4,LOCAL-150000,Setúbal,,,,,Área Metropolitana de Lisboa
LOCAL-160000,160000,16,Viana do Castelo,distrito,4,LOCAL-160000,Viana do Castelo,,,,,Norte
LOCAL-170000,170000,17,Vila Real,distrito,4,LOCAL-170000,Vila Real,,,,,Norte
LOCAL-180000,180000,18,Viseu,distrito,4,LOCAL-180000,Viseu,,,,,Centro
LOCAL-070000,070000,07,Évora,distrito,4,LOCAL-070000,Évora,,,,,Alentejo
LOCAL-010200,010200,10200,Albergaria-a-Velha,concelho,6,LOCAL-010000,Aveiro,LOCAL-010200,Albergaria-a-Velha,,,Centro
LOCAL-010300,010300,10300,Anadia,concelho,6,LOCAL-010000,Aveiro,LOCAL-010300,Anadia,,,Centro
LOCAL-010400,010400,10400,Arouca,concelho,6,LOCAL-010000,Aveiro,LOCAL-010400,Arouca,,,Centro
LOCAL-010500,010500,10500,Aveiro,concelho,6,LOCAL-010000,Aveiro,LOCAL-010500,Aveiro,,,Centro
LOCAL-010600,010600,10600,Castelo de Paiva,concelho,6,LOCAL-010000,Aveiro,LOCAL-010600,Castelo de Paiva,,,Centro
LOCAL-010700,010700,10700,Espinho,concelho,6,LOCAL-010000,Aveiro,LOCAL-010700,Espinho,,,Centro
LOCAL-010800,010800,10800,Estarreja,concelho,6,LOCAL-010000,Aveiro,LOCAL-010800,Estarreja,,,Centro
LOCAL-011100,011100,11100,Mealhada,concelho,6,LOCAL-010000,Aveiro,LOCAL-011100,Mealhada,,,Centro
LOCAL-011200,011200,11200,Murtosa,concelho,6,LOCAL-010000,Aveiro,LOCAL-011200,Murtosa,,,Centro
LOCAL-011300,011300,11300,Oliveira de Azeméis,concelho,6,LOCAL-010000,Aveiro,LOCAL-011300,Oliveira de Azeméis,,,Centro
LOCAL-011400,011400,11400,Oliveira do Bairro,concelho,6,LOCAL-010000,Aveiro,LOCAL-011400,Oliveira do Bairro,,,Centro
LOCAL-011500,011500,11500,Ovar,concelho,6,LOCAL-010000,Aveiro,LOCAL-011500,Ovar,,,Centro
