territory_code_full,territory_code_numeric,territory_code_ine,name,level,level_code,parent_code,parent_code_numeric,parent_name,district_code,district_name,region
LOCAL-010200,010200,10200,Albergaria-a-Velha,concelho,6,LOCAL-010000,010000,Aveiro,LOCAL-010000,Aveiro,Centro
LOCAL-010300,010300,10300,Anadia,concelho,6,LOCAL-010000,010000,Aveiro,LOCAL-010000,Aveiro,Centro
LOCAL-010400,010400,10400,Arouca,concelho,6,LOCAL-010000,010000,Aveiro,LOCAL-010000,Aveiro,Centro
LOCAL-010500,010500,10500,Aveiro,concelho,6,LOCAL-010000,010000,Aveiro,LOCAL-010000,Aveiro,Centro
LOCAL-010600,010600,10600,Castelo de Paiva,concelho,6,LOCAL-010000,010000,Aveiro,LOCAL-010000,Aveiro,Centro
LOCAL-010700,010700,10700,Espinho,concelho,6,LOCAL-010000,010000,Aveiro,LOCAL-010000,Aveiro,Centro
LOCAL-010800,010800,10800,Estarreja,concelho,6,LOCAL-010000,010000,Aveiro,LOCAL-010000,Aveiro,Centro
LOCAL-011100,011100,11100,Mealhada,concelho,6,LOCAL-010000,010000,Aveiro,LOCAL-010000,Aveiro,Centro
LOCAL-011200,011200,11200,Murtosa,concelho,6,LOCAL-010000,010000,Aveiro,LOCAL-010000,Aveiro,Centro
LOCAL-011300,011300,11300,Oliveira de Azeméis,concelho,6,LOCAL-010000,010000,Aveiro,LOCAL-010000,Aveiro,Centro
LOCAL-011400,011400,11400,Oliveira do Bairro,concelho,6,LOCAL-010000,010000,Aveiro,LOCAL-010000,Aveiro,Centro
LOCAL-011500,011500,11500,Ovar,concelho,6,LOCAL-010000,010000,Aveiro,LOCAL-010000,Aveiro,Centro
LOCAL-010900,010900,10900,Santa Maria da Feira,concelho,6,LOCAL-010000,010000,Aveiro,LOCAL-010000,Aveiro,Centro
LOCAL-011700,011700,11700,Sever do Vouga,concelho,6,LOCAL-010000,010000,Aveiro,LOCAL-010000,Aveiro,Centro
LOCAL-011600,011600,11600,São João da Madeira,concelho,6,LOCAL-010000,010000,Aveiro,LOCAL-010000,Aveiro,Centro
LOCAL-011800,011800,11800,Vagos,concelho,6,LOCAL-010000,010000,Aveiro,LOCAL-010000,Aveiro,Centro
LOCAL-011900,011900,11900,Vale de Cambra,concelho,6,LOCAL-010000,010000,Aveiro,LOCAL-010000,Aveiro,Centro
LOCAL-010100,010100,10100,Águeda,concelho,6,LOCAL-010000,010000,Aveiro,LOCAL-010000,Aveiro,Centro
LOCAL-011000,011000,11000,Ílhavo,concelho,6,LOCAL-010000,010000,Aveiro,LOCAL-010000,Aveiro,Centro
LOCAL-430100,430100,430100,Angra do Heroísmo,concelho,6,LOCAL-400000,400000,Açores,LOCAL-400000,Açores,Região Autónoma dos Açores
LOCAL-450100,450100,450100,Calheta,concelho,6,LOCAL-400000,400000,Açores,LOCAL-400000,Açores,Região Autónoma dos Açores
LOCAL-490100,490100,490100,Corvo,concelho,6,LOCAL-400000,400000,Açores,LOCAL-400000,Açores,Região Autónoma dos Açores
LOCAL-470100,470100,470100,Horta,concelho,6,LOCAL-400000,400000,Açores,LOCAL-400000,Açores,Região Autónoma dos Açores
LOCAL-420100,420100,420100,Lagoa,concelho,6,LOCAL-400000,400000,Açores,LOCAL-400000,Açores,Região Autónoma dos Açores
LOCAL-480100,480100,480100,Lajes das Flores,concelho,6,LOCAL-400000,400000,Açores,LOCAL-400000,Açores,Região Autónoma dos Açores
LOCAL-460100,460100,460100,Lajes do Pico,concelho,6,LOCAL-400000,400000,Açores,LOCAL-400000,Açores,Região Autónoma dos Açores
LOCAL-460200,460200,460200,Madalena,concelho,6,LOCAL-400000,400000,Açores,LOCAL-400000,Açores,Região Autónoma dos Açores
LOCAL-420200,420200,420200,Nordeste,concelho,6,LOCAL-400000,400000,Açores,LOCAL-400000,Açores,Região Autónoma dos Açores
LOCAL-420300,420300,420300,Ponta Delgada,concelho,6,LOCAL-400000,400000,Açores,LOCAL-400000,Açores,Região Autónoma dos Açores
LOCAL-420400,420400,420400,Povoação,concelho,6,LOCAL-400000,400000,Açores,LOCAL-400000,Açores,Região Autónoma dos Açores
LOCAL-420500,420500,420500,Ribeira Grande,concelho,6,LOCAL-400000,400000,Açores,LOCAL-400000,Açores,Região Autónoma dos Açores
LOCAL-440100,440100,440100,Santa Cruz da Graciosa,concelho,6,LOCAL-400000,400000,Açores,LOCAL-400000,Açores,Região Autónoma dos Açores
LOCAL-480200,480200,480200,Santa Cruz das Flores,concelho,6,LOCAL-400000,400000,Açores,LOCAL-400000,Açores,Região Autónoma dos Açores
LOCAL-460300,460300,460300,São Roque do Pico,concelho,6,LOCAL-400000,400000,Açores,LOCAL-400000,Açores,Região Autónoma dos Açores
LOCAL-450200,450200,450200,Velas,concelho,6,LOCAL-400000,400000,Açores,LOCAL-400000,Açores,Região Autónoma dos Açores
LOCAL-420600,420600,420600,Vila Franca do Campo,concelho,6,LOCAL-400000,400000,Açores,LOCAL-400000,Açores,Região Autónoma dos Açores
LOCAL-430200,430200,430200,Vila da Praia da Vitória,concelho,6,LOCAL-400000,400000,Açores,LOCAL-400000,Açores,Região Autónoma dos Açores
LOCAL-410100,410100,410100,Vila do Porto,concelho,6,LOCAL-400000,400000,Açores,LOCAL-400000,Açores,Região Autónoma dos Açores
LOCAL-020100,020100,20100,Aljustrel,concelho,6,LOCAL-020000,020000,Beja,LOCAL-020000,Beja,Alentejo
LOCAL-020200,020200,20200,Almodôvar,concelho,6,LOCAL-020000,020000,Beja,LOCAL-020000,Beja,Alentejo
LOCAL-020300,020300,20300,Alvito,concelho,6,LOCAL-020000,020000,Beja,LOCAL-020000,Beja,Alentejo
LOCAL-020400,020400,20400,Barrancos,concelho,6,LOCAL-020000,020000,Beja,LOCAL-020000,Beja,Alentejo
LOCAL-020500,020500,20500,Beja,concelho,6,LOCAL-020000,020000,Beja,LOCAL-020000,Beja,Alentejo
LOCAL-020600,020600,20600,Castro Verde,concelho,6,LOCAL-020000,020000,Beja,LOCAL-020000,Beja,Alentejo
LOCAL-020700,020700,20700,Cuba,concelho,6,LOCAL-020000,020000,Beja,LOCAL-020000,Beja,Alentejo
LOCAL-020800,020800,20800,Ferreira do Alentejo,concelho,6,LOCAL-020000,020000,Beja,LOCAL-020000,Beja,Alentejo
