territory_code_full,territory_code_numeric,territory_code_ine,name,level,level_code,parent_code,parent_code_numeric,parent_name,municipality_code,municipality_name,district_code,district_code_numeric,district_name,region
LOCAL-010209,010209,010209,Albergaria-a-Velha e Valmaior,freguesia,7,LOCAL-010200,010200,Albergaria-a-Velha,LOCAL-010200,Albergaria-a-Velha,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010202,010202,010202,Alquerubim,freguesia,7,LOCAL-010200,010200,Albergaria-a-Velha,LOCAL-010200,Albergaria-a-Velha,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010203,010203,010203,Angeja,freguesia,7,LOCAL-010200,010200,Albergaria-a-Velha,LOCAL-010200,Albergaria-a-Velha,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010204,010204,010204,Branca,freguesia,7,LOCAL-010200,010200,Albergaria-a-Velha,LOCAL-010200,Albergaria-a-Velha,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010206,010206,010206,Ribeira de Fráguas,freguesia,7,LOCAL-010200,010200,Albergaria-a-Velha,LOCAL-010200,Albergaria-a-Velha,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010210,010210,010210,São João de Loure e Frossos,freguesia,7,LOCAL-010200,010200,Albergaria-a-Velha,LOCAL-010200,Albergaria-a-Velha,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010316,010316,010316,"Amoreira da Gândara, Paredes do Bairro e Ancas",freguesia,7,LOCAL-010300,010300,Anadia,LOCAL-010300,Anadia,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010317,010317,010317,Arcos e Mogofores,freguesia,7,LOCAL-010300,010300,Anadia,LOCAL-010300,Anadia,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010304,010304,010304,Avelãs de Caminho,freguesia,7,LOCAL-010300,010300,Anadia,LOCAL-010300,Anadia,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010305,010305,010305,Avelãs de Cima,freguesia,7,LOCAL-010300,010300,Anadia,LOCAL-010300,Anadia,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010307,010307,010307,Moita,freguesia,7,LOCAL-010300,010300,Anadia,LOCAL-010300,Anadia,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010309,010309,010309,Sangalhos,freguesia,7,LOCAL-010300,010300,Anadia,LOCAL-010300,Anadia,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010310,010310,010310,São Lourenço do Bairro,freguesia,7,LOCAL-010300,010300,Anadia,LOCAL-010300,Anadia,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010318,010318,010318,"Tamengos, Aguim e Óis do Bairro",freguesia,7,LOCAL-010300,010300,Anadia,LOCAL-010300,Anadia,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010312,010312,010312,Vila Nova de Monsarros,freguesia,7,LOCAL-010300,010300,Anadia,LOCAL-010300,Anadia,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010313,010313,010313,Vilarinho do Bairro,freguesia,7,LOCAL-010300,010300,Anadia,LOCAL-010300,Anadia,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010402,010402,010402,Alvarenga,freguesia,7,LOCAL-010400,010400,Arouca,LOCAL-010400,Arouca,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010421,010421,010421,Arouca e Burgo,freguesia,7,LOCAL-010400,010400,Arouca,LOCAL-010400,Arouca,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010422,010422,010422,Cabreiros e Albergaria da Serra,freguesia,7,LOCAL-010400,010400,Arouca,LOCAL-010400,Arouca,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010423,010423,010423,Canelas e Espiunca,freguesia,7,LOCAL-010400,010400,Arouca,LOCAL-010400,Arouca,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010407,010407,010407,Chave,freguesia,7,LOCAL-010400,010400,Arouca,LOCAL-010400,Arouca,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010424,010424,010424,Covelo de Paivó e Janarde,freguesia,7,LOCAL-010400,010400,Arouca,LOCAL-010400,Arouca,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010409,010409,010409,Escariz,freguesia,7,LOCAL-010400,010400,Arouca,LOCAL-010400,Arouca,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010411,010411,010411,Fermedo,freguesia,7,LOCAL-010400,010400,Arouca,LOCAL-010400,Arouca,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010413,010413,010413,Mansores,freguesia,7,LOCAL-010400,010400,Arouca,LOCAL-010400,Arouca,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010414,010414,010414,Moldes,freguesia,7,LOCAL-010400,010400,Arouca,LOCAL-010400,Arouca,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010415,010415,010415,Rossas,freguesia,7,LOCAL-010400,010400,Arouca,LOCAL-010400,Arouca,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010416,010416,010416,Santa Eulália,freguesia,7,LOCAL-010400,010400,Arouca,LOCAL-010400,Arouca,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010417,010417,010417,São Miguel do Mato,freguesia,7,LOCAL-010400,010400,Arouca,LOCAL-010400,Arouca,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010418,010418,010418,Tropeço,freguesia,7,LOCAL-010400,010400,Arouca,LOCAL-010400,Arouca,LOCAL-010000,010000,Aveiro,Centro
